,content,score,appVersion,content_process,result,sentiment,proba
59,"Aplikasi kurang bagus, mau verifikasi sms aja, harus pakai Pulsa. Gimana kalo tekendala tidak ada Pulsa. Tidak bisa login dong",2,,aplikasi kurang bagus  mau verifikasi sms aja  harus pakai pulsa  gimana kalo tekendala tidak ada pulsa  tidak bisa login dong,"[{'label': 'negative', 'score': 0.9966136813163757}]",negative,0.9966136813163757
60,"Banyak manfaat, mudah di gunakan dan bagus sekali.",5,1.4.1,banyak manfaat  mudah di gunakan dan bagus sekali ,"[{'label': 'positive', 'score': 0.9991758465766907}]",positive,0.9991758465766907
61,Bagus pelayanan nya👍👍,5,1.4.0,bagus pelayanan nya  ,"[{'label': 'positive', 'score': 0.9982271790504456}]",positive,0.9982271790504456
62,Mau tanya ini dbank sy kok Ndak bs dibuka muncul Ket sdh di djailbreak ya,4,1.4.1,mau tanya ini dbank sy kok ndak bs dibuka muncul ket sdh di djailbreak ya,"[{'label': 'neutral', 'score': 0.9961905479431152}]",neutral,0.9961905479431152
63,Aku dowlond lagi kok susah ya,2,,aku dowlond lagi kok susah ya,"[{'label': 'negative', 'score': 0.998740017414093}]",negative,0.998740017414093
64,Bagus,5,1.4.1,bagus,"[{'label': 'positive', 'score': 0.9980973601341248}]",positive,0.9980973601341248
65,OTP di email sudah benar tp kenapa balik lagi isi lg dengan otp yg sama malah gagal .. crash gtu apk nya .. bintang 1 dlu biar dibaca,1,1.4.1,otp di email sudah benar tp kenapa balik lagi isi lg dengan otp yg sama malah gagal    crash gtu apk nya    bintang   dlu biar dibaca,"[{'label': 'negative', 'score': 0.995887815952301}]",negative,0.995887815952301
66,"verif no hp gagal terus,no hp sudah bener,telp cs sampai pulsa habis...gak banget",1,1.4.1,verif no hp gagal terus no hp sudah bener telp cs sampai pulsa habis   gak banget,"[{'label': 'negative', 'score': 0.9387912750244141}]",negative,0.9387912750244141
67,Mantulll,5,,mantulll,"[{'label': 'negative', 'score': 0.9964389801025391}]",negative,0.9964389801025391
68,"Mau ganti PW login ribet, lewat email link ga masuk, lewat CS ribet menunya muter"" ga jelas. Katanya praktis dan mudah, kenyataannya berbanding terbalik.",1,1.4.0,mau ganti pw login ribet  lewat email link ga masuk  lewat cs ribet menunya muter  ga jelas  katanya praktis dan mudah  kenyataannya berbanding terbalik ,"[{'label': 'negative', 'score': 0.9984523057937622}]",negative,0.9984523057937622
69,Kenapa ada masalah pada rekening saya padahal saya gak ngapa2in,1,1.4.1,kenapa ada masalah pada rekening saya padahal saya gak ngapa in,"[{'label': 'negative', 'score': 0.9906384944915771}]",negative,0.9906384944915771
70,Lupa password . Pas di koneksikan ke email saya untuk perubahan pasword tidak ada masuk email,3,,lupa password   pas di koneksikan ke email saya untuk perubahan pasword tidak ada masuk email,"[{'label': 'neutral', 'score': 0.998988687992096}]",neutral,0.998988687992096
71,Memudahkan untuk bertransaksi,5,1.4.1,memudahkan untuk bertransaksi,"[{'label': 'positive', 'score': 0.9978219270706177}]",positive,0.9978219270706177
72,Nice,5,1.4.0,nice,"[{'label': 'positive', 'score': 0.9934777021408081}]",positive,0.9934777021408081
73,Min mohon hapus data pribadi saya karena saya ditolak diapk pinjol ini,1,,min mohon hapus data pribadi saya karena saya ditolak diapk pinjol ini,"[{'label': 'neutral', 'score': 0.9881595373153687}]",neutral,0.9881595373153687
74,"Fitur Layanan Bagus Dan Profesional,Mudah Dalam Bertransaksi""Pertahankan Dan Tingkatkan.",5,1.4.1,fitur layanan bagus dan profesional mudah dalam bertransaksi pertahankan dan tingkatkan ,"[{'label': 'positive', 'score': 0.9983944296836853}]",positive,0.9983944296836853
75,Mantap aplikasinya,5,1.4.1,mantap aplikasinya,"[{'label': 'positive', 'score': 0.9993389248847961}]",positive,0.9993389248847961
76,"Terimakasih dbank pro,,aplikasi nya sangat bagus dan mudah untuk dioperasikan nya. Tampilanya sangat bagus dan menarik mudah digunakan nya.",5,1.4.1,terimakasih dbank pro  aplikasi nya sangat bagus dan mudah untuk dioperasikan nya  tampilanya sangat bagus dan menarik mudah digunakan nya ,"[{'label': 'positive', 'score': 0.9991998076438904}]",positive,0.9991998076438904
77,Aplikasi D-Bank Pro sdh ok tp masih ada yg kurang yaitu tdk terkoneksi dgn obligasi yg nasabah pny. Jd kita tdk bisa melihat brp jumlah obligasi sperti deposito. Tlng kalo bisa dikoneksikan biar lebih lengkap. Tks,4,1.4.1,aplikasi d bank pro sdh ok tp masih ada yg kurang yaitu tdk terkoneksi dgn obligasi yg nasabah pny  jd kita tdk bisa melihat brp jumlah obligasi sperti deposito  tlng kalo bisa dikoneksikan biar lebih lengkap  tks,"[{'label': 'neutral', 'score': 0.9832296967506409}]",neutral,0.9832296967506409
78,Mantap parah,5,1.4.1,mantap parah,"[{'label': 'positive', 'score': 0.7254791855812073}]",positive,0.7254791855812073
79,Registrasi mobile memerlukan pulsa untuk aktivasi,4,1.4.1,registrasi mobile memerlukan pulsa untuk aktivasi,"[{'label': 'neutral', 'score': 0.9989460110664368}]",neutral,0.9989460110664368
80,Aplikasi mudah digunakan,5,1.4.0,aplikasi mudah digunakan,"[{'label': 'positive', 'score': 0.9982889294624329}]",positive,0.9982889294624329
81,Maaf ka saya Masih belum ngerti tata cara biar Login akun D bank pro ini ka.. kartu atm DANAMON udah punya. Untuk Login di apk D-Bank PRO nya susah ka.. ga tau wktu mau Login salah masukin Emailnya atou paswordnya Lupa .,3,1.4.0,maaf ka saya masih belum ngerti tata cara biar login akun d bank pro ini ka   kartu atm danamon udah punya  untuk login di apk d bank pro nya susah ka   ga tau wktu mau login salah masukin emailnya atou paswordnya lupa  ,"[{'label': 'neutral', 'score': 0.5536194443702698}]",neutral,0.5536194443702698
82,Katanya dapet saldo gratis dengan nominal 50 ribu tapi nyatanya gak dapet,1,1.4.1,katanya dapet saldo gratis dengan nominal    ribu tapi nyatanya gak dapet,"[{'label': 'neutral', 'score': 0.7260878682136536}]",neutral,0.7260878682136536
83,Mf aplikasi di perbaru selalu erro g bisa dibuka lg knpa y,3,1.4.1,mf aplikasi di perbaru selalu erro g bisa dibuka lg knpa y,"[{'label': 'neutral', 'score': 0.7495707273483276}]",neutral,0.7495707273483276
84,Ko tidak bisa instal aplikasi danamon ya,1,,ko tidak bisa instal aplikasi danamon ya,"[{'label': 'neutral', 'score': 0.9980454444885254}]",neutral,0.9980454444885254
85,Tolong dong kok inih gak bisa transfer sama Nerima transfer yah apa sedang gangguan atau eror..TPI sebelumnya bisa bisa ajah dan normal..baru sekarang mengalami masalah transferan gagal dan Nerima transfer GK masuk..tolong dong benerin,3,1.4.0,tolong dong kok inih gak bisa transfer sama nerima transfer yah apa sedang gangguan atau eror  tpi sebelumnya bisa bisa ajah dan normal  baru sekarang mengalami masalah transferan gagal dan nerima transfer gk masuk  tolong dong benerin,"[{'label': 'negative', 'score': 0.9795100092887878}]",negative,0.9795100092887878
86,Sush untuk login nya malah hbis plsa aja kirim SMS berkali kali,1,1.4.0,sush untuk login nya malah hbis plsa aja kirim sms berkali kali,"[{'label': 'negative', 'score': 0.9915502071380615}]",negative,0.9915502071380615
87,Semenjak pake danamon ultimate prioritas tranfer ke mana aja gratiss tampa potongan dan tampa batas Ga kaya bank lain Trimaksih danamon,5,1.4.0,semenjak pake danamon ultimate prioritas tranfer ke mana aja gratiss tampa potongan dan tampa batas ga kaya bank lain trimaksih danamon,"[{'label': 'positive', 'score': 0.9945677518844604}]",positive,0.9945677518844604
88,Aplikasi ini sanagat membantu,5,,aplikasi ini sanagat membantu,"[{'label': 'positive', 'score': 0.998217761516571}]",positive,0.998217761516571
89,Aplikasi bagus apalagi transfer valas,5,1.3.9,aplikasi bagus apalagi transfer valas,"[{'label': 'positive', 'score': 0.9974602460861206}]",positive,0.9974602460861206
90,Sangat memuaskan aplikasi sangat mudah d pahami dan mempermudah transaksi,5,1.4.0,sangat memuaskan aplikasi sangat mudah d pahami dan mempermudah transaksi,"[{'label': 'positive', 'score': 0.9990277290344238}]",positive,0.9990277290344238
91,D bank pro top markotop dah ...layanan bagus...tingkatkan trus bro,5,1.4.0,d bank pro top markotop dah    layanan bagus   tingkatkan trus bro,"[{'label': 'positive', 'score': 0.9965772032737732}]",positive,0.9965772032737732
92,"Bagus banget, mudah di lakukan , selalu lancar, banyak keuntungan nya, pokok nya keren banget",5,1.4.0,bagus banget  mudah di lakukan   selalu lancar  banyak keuntungan nya  pokok nya keren banget,"[{'label': 'positive', 'score': 0.9989596605300903}]",positive,0.9989596605300903
93,D Bank Pro keren...mempermudah membantu transaksi secara cepat,5,1.3.9,d bank pro keren   mempermudah membantu transaksi secara cepat,"[{'label': 'positive', 'score': 0.996716320514679}]",positive,0.996716320514679
94,transaksi yg sangat simpel dan mudah,5,1.4.0,transaksi yg sangat simpel dan mudah,"[{'label': 'positive', 'score': 0.9846873879432678}]",positive,0.9846873879432678
95,Ok,5,1.4.0,ok,"[{'label': 'negative', 'score': 0.998392641544342}]",negative,0.998392641544342
96,Aplikasi keren semuanya ada bayar apa aja jd gampang,5,1.4.0,aplikasi keren semuanya ada bayar apa aja jd gampang,"[{'label': 'positive', 'score': 0.9985730648040771}]",positive,0.9985730648040771
97,Lebih melancarkan transaksi,5,1.4.0,lebih melancarkan transaksi,"[{'label': 'positive', 'score': 0.9981885552406311}]",positive,0.9981885552406311
98,Mohon ditambahkan kembali fitur top up flazz juga,5,1.4.0,mohon ditambahkan kembali fitur top up flazz juga,"[{'label': 'neutral', 'score': 0.9975836277008057}]",neutral,0.9975836277008057
99,Dbank pro bisa melayani semua kebutuhan nasabah,5,1.4.0,dbank pro bisa melayani semua kebutuhan nasabah,"[{'label': 'positive', 'score': 0.9832183718681335}]",positive,0.9832183718681335
100,Sukses selalu,5,1.3.9,sukses selalu,"[{'label': 'positive', 'score': 0.9991117119789124}]",positive,0.9991117119789124
101,"Gila keren banget bisa top up emoney mandiri, top up ovo ga ada biaya, valas live dan harga oke banget kalah bank sebelah. Udah gitu bisa buka DL Pro 1 rekening 9 mata uang. Apa lagi ya... Banyak banget, ga pernah kenak hack, sekian detik ga transaksi auto log out jd aman. Worth it",5,1.4.0,gila keren banget bisa top up emoney mandiri  top up ovo ga ada biaya  valas live dan harga oke banget kalah bank sebelah  udah gitu bisa buka dl pro   rekening   mata uang  apa lagi ya    banyak banget  ga pernah kenak hack  sekian detik ga transaksi auto log out jd aman  worth it,"[{'label': 'positive', 'score': 0.99849534034729}]",positive,0.99849534034729
102,Memudahkan transaksi,5,,memudahkan transaksi,"[{'label': 'positive', 'score': 0.9992165565490723}]",positive,0.9992165565490723
103,Mantap jaya,5,1.4.0,mantap jaya,"[{'label': 'positive', 'score': 0.9993425011634827}]",positive,0.9993425011634827
104,"Sangat membantu transaksi dg cepat, fiturnya lengkap bs buka rekening, cek saldo, trf, cek penggunaan CC, merubah trx CC menjadi installment.",5,1.4.0,sangat membantu transaksi dg cepat  fiturnya lengkap bs buka rekening  cek saldo  trf  cek penggunaan cc  merubah trx cc menjadi installment ,"[{'label': 'neutral', 'score': 0.9806695580482483}]",neutral,0.9806695580482483
105,Transaksi lebih mudah,5,1.4.0,transaksi lebih mudah,"[{'label': 'positive', 'score': 0.9963485598564148}]",positive,0.9963485598564148
106,Danamon Bisa semakin jaya....,5,1.4.0,danamon bisa semakin jaya    ,"[{'label': 'positive', 'score': 0.9192277789115906}]",positive,0.9192277789115906
107,Harus instal aplikasi ini...mempermudah segala jenis transaksi..,5,1.4.0,harus instal aplikasi ini   mempermudah segala jenis transaksi  ,"[{'label': 'neutral', 'score': 0.7885761260986328}]",neutral,0.7885761260986328
108,Jaringan ok banget gak pake lemot.. mantap lah,5,1.4.0,jaringan ok banget gak pake lemot   mantap lah,"[{'label': 'positive', 'score': 0.9991267323493958}]",positive,0.9991267323493958
109,The best product ....,5,1.4.0,the best product     ,"[{'label': 'positive', 'score': 0.9981696605682373}]",positive,0.9981696605682373
110,Layanan aplikasi terbaik,5,1.4.0,layanan aplikasi terbaik,"[{'label': 'positive', 'score': 0.9990420937538147}]",positive,0.9990420937538147
111,Danamon sangat membantu transaksi nasabah,5,1.4.0,danamon sangat membantu transaksi nasabah,"[{'label': 'positive', 'score': 0.9990635514259338}]",positive,0.9990635514259338
112,D banl pro kerren,5,1.4.0,d banl pro kerren,"[{'label': 'neutral', 'score': 0.9912319779396057}]",neutral,0.9912319779396057
113,Aplikasi ini sangat membantu,5,,aplikasi ini sangat membantu,"[{'label': 'positive', 'score': 0.9977167844772339}]",positive,0.9977167844772339
114,Dbankpro baguss,5,1.3.9,dbankpro baguss,"[{'label': 'positive', 'score': 0.9988597631454468}]",positive,0.9988597631454468
115,Mantap aplikasinya multifungsi buat bayar apa saja bisa,5,,mantap aplikasinya multifungsi buat bayar apa saja bisa,"[{'label': 'positive', 'score': 0.9977768063545227}]",positive,0.9977768063545227
116,Bagus,5,1.4.0,bagus,"[{'label': 'positive', 'score': 0.9980973601341248}]",positive,0.9980973601341248
117,Fitur lengkap dan memudahkan untuk customer,5,1.4.0,fitur lengkap dan memudahkan untuk customer,"[{'label': 'positive', 'score': 0.9987074136734009}]",positive,0.9987074136734009
